Banglish,Bangla
Bhai font create korar pore install e click korar por install Holo kina kisui dekhai nah and font o change hoi nah,ভাই ফন্ট ক্রিয়েট করার পর ইন্সটল এ ক্লিক করার পর ইন্সটল হলো কিনা কিছুই দেখায় না অ্যান্ড ফন্ট ও চেঞ্জ হয় না
Bhai eneke development option e ante parbe na Tai age development option anar bisoye ektu bolen,ভাই অনেকে ডেভেলপমেন্ট অপসন ই আনতে পারবে না তাই আগে ডেভেলপমেন্ট অপসন আনার বিষয়ে একটু বলেন
"Bhai 1 shoptah age trial kinchilam,kintu ajke jokhon abar acc korar jnno site e gelam,dekhi shei trial option nai! Please taratari notun ekta trick share koren.","ভাই ১ সপ্তাহ আগে ট্রায়াল কিনছিলাম,কিন্তু আজকে যখন আবার একাউন্ট করার জন্য সাইট এ গেলাম,দেখি সেই ট্রায়াল অপসন নাই! প্লিজ তাড়াতাড়ি নতুন একটা ট্রিক শেয়ার করেন।"
bdix speed bypass kore ki bhabe .?,বিডিআইএক্স স্পিড বাইপাস করে কি ভাবে .?
BDIX SPEED BYPASS er r Kono system Nai? For Android,বিডিআইএক্স স্পিড বাইপাস এর আর কোনো সিস্টেম নাই? ফর এন্ড্রয়েড
bdix proxy bypass kore ki vabe? ei bisoi e post cai,বিডিআইএক্স প্রক্সি বাইপাস করে কি ভাবে? এই বিষয় এ পোস্ট চাই
Bd o hy,বিডি ও হয়
Banned er kotha ke bollo brother,ব্যানড এর কথা কে বলল ব্রাদার 
Bangladesh server vpn dite parben,বাংলাদেশ সার্ভার ভিপিএন দিতে পারবেন 
Bangladesh Server Dite parben,বাংলাদেশ সার্ভার দিতে পারবেন 
Bangladesh server ase ni,বাংলাদেশ সার্ভার আসে নি 
Bangladesh full dekhay,বাংলাদেশ ফুল দেখায়
Bangladesh connect hoy na.bohut try korlam kono lav holo na dekhay traffic os blocked,বাংলাদেশ কানেক্ট হয় না।বহুত ট্রাই করলাম কোনো লাভ হলো না দেখায় ট্রাফিক ওএস ব্লকড
Bangladesh a kobe asbe janen ki,বাংলাদেশ এ কবে আসবে জানেন কি 
Bangla font tar nam ki?,বাংলা ফন্ট টার নাম কি?
Bangla English 2Ta 1sathe kivabe use korbo,বাংলা ইংলিশ ২টা ১সাথে কিভাবে ইউজ করবো 
Bamgla front ace?,বাংলা ফন্ট আছে?
Bah valo Post,বাহ্ ভালো পোস্ট
"Aytaa diye ki linux er operating system install kora jaabe,naki shudhu windows?","এইটা দিয়ে কি লিনাক্স এর অপারেটিং সিস্টেম ইনস্টল করা যাবে,নাকি শুধু উইন্ডওজ?"
Ayta shobb phone a work korbe?,এইটা সব ফোন এ ওয়ার্ক করবে?
Ay type er kaaj aage koraa jaaito!,এই টাইপ এর কাজ আগে করা যাইতো! 
awesome vai,অসাম ভাই
Ata sobai Jana vai post korar drkr nai,এটা সবাই জানে ভাই পোস্ট করার দরকার নাই
Ata kono post holo,এটা কোনো পোস্ট হলো
Ata dia shudu oi game ar joto tuku data joma ase sheta sd card a jabe .kintu amar game ar obb file to internal storage ai theke jabe,এটা দিয়ে শুধু ওই গেম এর যত টুকু ডাটা জমা আছে সেটা এসডি কার্ড এ যাবে .কিন্তু আমার গেম এর অবিবি ফাইল তো ইন্টারনাল স্টোরেজ এই থেকে যাবে
Assalamualaikum!!! Ami apnar sathe kichu share korte agrohi!!!! Ja html korar jonno suvidha hote pare.!!! Apnar sathe kivabe jugajog korbo?,আস্সালামুআলাইকুম!!! আমি আপনার সাথে কিছু শেয়ার করতে আগ্রহী!!!! যা এইচটিএমএল করার জন্য সুবিধা হতে পারে.!!! আপনার সাথে কিভাবে যোগাযোগ করবো?
Assailamualaikum Vaiya. Amay ektu help korben?,আস্সালামুয়ালাইকুম ভাইয়া. আমায় একটু হেল্প করবেন?
Assa vaiya chesta korbo,আচ্ছা ভাইয়া চেষ্টা করবো
asole eita ekta windows software. ar ami kokhon linux use korini. eisarao er somporke amar temon dharona nei. to apni try kore dekhte paren.,আসলে এইটা একটা উইন্ডোজ সফটওয়্যার. আর আমি কখনো লিনাক্স ইউজ করিনি. এ ছাড়াও এর সম্পর্কে আমার তেমন ধারণা নেই. তো আপনি ট্রাই করে দেখতে পারেন।
ase na ! direct download link den,আছে না ! ডাইরেক্ট ডাউনলোড লিংক দেন
Ase maybe! Dakte hbe,আছে মেবি! দেখতে হবে
"aro post chai,Thank u for this post","আরও পোস্ট চাই,থ্যাংক ইউ ফর দিস পোস্ট"
apt upgrade command dile shomoy nibe ektu!,অ্যাপ্ট আপগ্রেড কম্যান্ড দিলে সময় নিবে একটু!
Apps name ki programing hub?,অ্যাপস নাম কি প্রোগ্রামিং হাব?
"Apps na vai,phone er settings a ei subidha ache.","অ্যাপস না ভাই,ফোন এর সেটিংস এ এই সুবিধা আছে।"
apps link den,অ্যাপস লিংক দেন
Apps ear link dile valo hoy playstore e search dile bujte parce na konta,অ্যাপস এর লিংক দিলে ভালো হয় প্লেস্টোর এ সার্চ দিলে বুঝতে পারছি না কোনটা
app tar link den,আ্যপ টার লিংক দেন
App ta download korte parteci na .plz help,অ্যাপ টা ডাউনলোড করতে পারতেছি না .প্লিজ হেল্প
App not installed dakai,অ্যাপ নট ইন্সটল্ড দেখায়
App login hoyna,অ্যাপ লগিন হয়না
app link,অ্যাপ লিংক
App Devoloper Data Sell dile amader datar privacy thaklo koi?,অ্যাপ ডেভেলোপার ডাটা সেল দিলে আমাদের ডাটার প্রাইভেসি থাকলো কই?
Apnr id tei to view nai,আপনার আইডি তেই তো ভিউ নাই
Apnr ai apps ki google play te nai?,আপনার এই অ্যাপস কি গুগল প্লে তে নাই?
Apni mail koren trickbd support k.,আপনি মেইল করেন ট্রিকবিডি সাপোর্ট কে।
apni kon settings er kotha boltesen?,আপনি কোন সেটিংস এর কথা বলতেছেন?
Apni ki trickbd bondho korte can?,আপনি কি ট্রিকবিডি বন্ধ করতে চান?
apni ki computer naki mobile diye kortecen and kon browser diye kortecen?,আপনি কি কম্পিউটার নাকি মোবাইল দিয়ে করতেছেন এন্ড কোন ব্রাউসার দিয়ে করতেছেন?
"Apni jodi 28/08/2021 kine thaken too er porer din phone seta active hoye chilo (sim laganur maddhome) -sms aste hobe,emon kuno kotha nei.","আপনি যদি ২৮/০৮/২০২১ কিনে থাকেন তো এর পরের দিন ফোন সেটা একটিভ হয়ে ছিলো (সিম লাগানোর মাধ্যমে) -এসএমএস আসতে হবে,এমন কোনো কথা নেই। "
Apni chaile onno account khuleo use korte paren (apnar personal account baade),আপনি চাইলে অন্য একাউন্ট খুলেও ইউজ করতে পারেন (আপনার পার্সোনাল একাউন্ট বাদে)
apni asole ki bujate ceyecilen. apnar kothata clear na.,আপনি আসলে কি বুজাতে চেয়েছিলেন। আপনার কথাটা ক্লিয়ার না। 
Apner kache arokom template thakle amake fb te contact koren. ami trickbd te share kore debo,আপনের কাছে এরকম টেম্পলেট থাকলে আমাকে এফবি তে কন্টাক্ট করেন। আমি ট্রিকবিডি তে শেয়ার করে দিব
Apnar payment Prof koi,আপনার পেমেন্ট প্রুফ কই 
apnar mod too apni sell dicchen. amar mod ami free share dicchi,আপনার মোড তো আপনি সেল দিচ্ছেন। আমার মোড আমি ফ্রি শেয়ার দিচ্ছি
Apnar mobile onujayi download korben,আপনার মোবাইল অনুযায়ি ডাউনলোড করবেন
apnak too boli nai amar file download korte. internet a onek turbo vpn paben. oigula use koren.,আপনাকে তো বলি নাই আমার ফাইল ডাউনলোড করতে। ইন্টারনেট এ অনেক টার্বো ভিপিএন পাবেন। ঐগুলা ইউজ করেন।
any iptv player colbe,এনি আইপিটিভি প্লেয়ার চলবে 
Anime website niye alada post korechi,এনিমে ওয়েবসাইট নিয়ে আলাদা পোস্ট করেছি
Anime streaming er ekta valo apk den,এনিমে স্ট্রিমিং এর একটা ভালো এপিকে দেন
Android version koto ? Oi app na hole onno app a try kore dekhen.,এন্ড্রোইড ভার্সন কোতো ? ওই অ্যাপ না হলে অন্য অ্যাপ এ ট্রাই করে দেখেন।
Android version ki ?,এন্ড্রোইড ভার্সন কি ?
android v6 a support kore amn kono click apps ace?,এন্ড্রোইড ভি৬ এ সাপোর্ট করে এমন কোনো ক্লিক অ্যাপস আছে?
Android 6 hole hoto,এন্ড্রোইড ৬ হলে হত
"Android 11,12 te hoy nah","এন্ড্রোইড ১২,১২ তে হয় না"
Android 11 a kaj hoy na vai,এন্ড্রোইড ১১ এ কাজ হয় না ভাই
Android 10 Go user bt kaj hossy na,এন্ড্রোইড ১০ গো ইউজার বাট কাজ হচ্ছে না
amr vai 6+128 gb. 14 hajar 800 tk diye kince goto kal,আমার ভাই ৬+১২৮ জিবি। ১৪ হাজার ৮০০ টাকা দিয়ে কিনছি গত কাল
amr to normal speed 5-7mbps thakei.but,আমার তো নরমাল স্পিড ৫-৭ এমবিপিএস থাকেই।বাট 
amr to emn hoy na vai!!,আমার তো এমন হয় না ভাই!!
"Amr ta Android 11,kaz korbe.?","আমরা টা এন্ড্রোইড ১১,কাজ করবে.? "
Amr phn devloper option lage na.amni change kore move kora jay sd card a.but phn memory jagay use kore.data sd card a jay na.,আমার ফোন ডেভেলোপার অপসন লাগে না।এমনি চেঞ্জ করে মুভ করা যায় এসডি কার্ড এ.বাট ফোন মেমোরি জাগায় ইউজ করে।ডাটা এসডি কার্ড এ যায় না।
Amr o vai aki problem apnar fb page e msg dissi aktu dekhen,আমার ও ভাই একই প্রবলেম আপনার এফবি পেইজ এ ম্যাসেজ দিছি একটু দেখেন
Amio parchi na connect korte,আমিও পারছি না কানেক্ট করতে
Amio etai boli,আমিও এটাই বলি
"Ami to setai bollam.jesob phone er nijossho kono ui nei segulo re kaj korbe,otherwise option ta ei pabena","আমি তো সেটাই বললাম।যেসব ফোন এর নিজস্ব কোনো ইউআই নেই সেগুলো তে কাজ করবে,আদারওয়াইজ অপসন টা ই পাবেনা"
Ami to post a boleichi je akhonkar android version a nao hote pare.,আমি তো পোস্ট এ বলেছি যে এখনকার এন্ড্রোইড ভার্সন এ নাও হতে পারে।
Ami to eta post ei bole dilam,আমি তো এটা পোস্ট এই বলে দিলাম
Ami to connect krey dekhylm,আমি তো কানেক্ট করে দেখাইলাম
Ami sim lagay on korar por to warrenty sms asa nai vai. Kono sms e asa nai.,আমি সিম লাগায় অন করার পর তো ওয়ারেন্টি এসএমএস আসে নাই ভাই। কোনো এসএমএস ই আসে নাই।
Ami nijei post korte chacchilam google lens niye,আমি নিজেই পোস্ট করতে চাচ্ছিলাম গুগল লেন্স নিয়ে
Ami kokhno use krinaypanda premium nai amar kase,আমি কখনো ইউজ করিনাইপান্ডা প্রিমিয়াম নাই আমার কাছে
Ami kinbo na dam kom phone valo Mone hocce na,আমি কিনব না দাম কম ফোন ভালো মনে হচ্ছে না
Ami ki version diyeci vaiya,আমি কি ভার্সন দিয়েছি ভাইয়া
Ami ekti post koresi gotokal dupure eta ekhonw approve hocchena kno?,আমি একটি পোস্ট করেছি গতকাল দুপুরে এটা এখনও এপ্রুভ হচ্ছেনা কেন?
amazing post. Aro post chai arokhom,এমেইজিং পোস্ট। আরও পোস্ট চাই এরকম
Amartay inbuild adguard dns ase,আমারটায় ইনবিল্ড এডগার্ড ডিএনএস আছে. 
Amar to kono problem hoyna kiwi te,আমার তো কোনো প্রব্লেম হয়না কিউই তে
amar phone e 90% sob gulai tracker,আমার ফোন এ ৯০% সব গুলাই ট্রেকার
Amar name a sarch koren fb I’d te sobar age amar I’d paben. I’d name MD musabbir Kabir,আমার নাম এ সার্চ করেন এফবি আইডি তে সবার আগে আমার আইডি পাবেন. আইডি নাম মোঃ মুসাব্বির কবির 
Amar mod niya post kortasen tarporo kono credit den nai.,আমার মোড নিয়া পোস্ট করতাছেন তারপরও কোনো ক্রেডিট দেন নাই. 
Amar Device Poco m2 android Version 1120 second wait korchi ta o ase nai,আমার ডিভাইস পোকা এম২ এন্ড্রোইড ভার্সন ১১২০ সেকেন্ড ওয়েট করছি তা ও আসে নাই
"Amar android version 8.1.0 go edition. Apnarta mone hoy alada,system Update kore developer options a giye dekhen.","আমার এন্ড্রোইড ভার্সন ৮.১.০ গো এডিশন। আপনারটা মনে হয় আলাদা,সিস্টেম আপডেট করে ডেভেলপার অপশনস এ গিয়ে দেখেন। "
amader telegram group e tutorial video dea ache. caile dekhe nite paren,আমাদের টেলিগ্রাম গ্রুপ এ টিউটোরিয়াল ভিডিও দেয়া আছে. চাইলে দেখে নিতে পারেন
all phn setting a thake na mybe,অল ফোন সেটিং এ থাকে না মেবি
All android phone ei thakbe bhai . sure,অল এন্ড্রয়েড ফোন এই থাকবে ভাই . শিউর
alada na eki. aste aste sob feature add kora hobe.,আলাদা না একই। আস্তে আস্তে সব ফীচার অ্যাড করা হবে। 
akhn 50tk min.,এখন ৫০টাকা মিন। 
akhane bdix server ar proxy port ber korte paren amon expert keu ki asen ?,এখানে বিডিআইএক্স সার্ভার এর প্রক্সি পোর্ট বের করতে পারেন এমন এক্সপার্ট কেউ কি আছেন ?
AKDOM JOGONO GAME AMAR TK MARA DISA,একদম জঘন্য গেম আমার টাকা মারা দিছে
Ak sathe koyta account login kre rakha jay bro?,এক সাথে কয়টা একাউন্ট লগইন করে রাখা যায় ব্রো?
Aita keo use korven nh account hack hoye jabe,এটা কেউ ইউজ করবেন না একাউন্ট হ্যাক হয়ে যাবে
ai gula kuno kaj ar na,এই গুলা কোনো কাজ এর না
Agai use korci,আগেই ইউজ করছি
Admin panal ki babe hack korbo,অ্যাডমিন প্যানেল কি ভাবে হ্যাক করবো
Adguard dns er thekeo adguard app use kora better,এডগার্ড ডিএনএস এর থেকেও এডগার্ড অ্যাপ ইউজ করা বেটার
Adguard app use koren,এডগার্ড অ্যাপ ইউজ করেন
Action hobe na just ekta case gd,অ্যাকশন হবে না জাস্ট একটা কেস জিডি
Accha plus niya airokom akta post koren. Otaw telegram ar alternative. Probably plus a telegraph ar thake basi feature ache.,আচ্ছা প্লাস নিয়া এইরকম একটা পোস্ট করেন। ওটাও টেলিগ্রাম এর অল্টারনেটিভ। প্রবাবলী প্লাস এ টেলিগ্রাফ এর থেকে বেশি ফীচার আছে। 
Accchhha amar Wifi BDIX support kore kina kivave buzbo ?,আচ্ছা আমার ওয়াইফাই বিডিআইএক্স সাপোর্ট করে কিনা কিভাবে বুজবো ? 
Aapni ttf theke j apk ta banalen oitaa dite paarben? ami try kore dekhi!,আপনি টিটিএফ থেকে যে এপিকে টা বানালেন ঐটা দিতে পারবেন? আমি ট্রাই করে দেখি! 
a to dakhe donald trump are choto vai,এ তো দেখি ডোনাল্ড ট্রাম্প এর ছোট ভাই
a rokom aro post cai vai,এ রকম আরো পোস্ট চাই ভাই
7day trial toh pelam na turbo vpn er website a,৭ডেজ ট্রায়াল তো পেলাম না টার্বো ভিপিএন এর ওয়েবসাইট এ
72hr + hoye gele nothing to do,৭২আওার + হয়ে গেলো নাথিং টু ডু
7 diner free trial ta show kortace na vai,৭ দিনের ফ্রি ট্রায়াল টা শো করতাছে না ভাই
7 diner free trial ta show kortace na,৭ দিনের ফ্রি ট্রায়াল টা শো করতাছে না
64 bit ki 32 bit kivabe bujbo?,৬৪ বিট কি ৩২ বিট কিভাবে বুঝবো?
5 ta game win korsi with 00 losses,৫ টা গেম উইন করছি উইথ ০০ লসেস
3years ago. Tobe ami to jantam na. Apnar post 2ti o onek shundor hoyeche.,৩ইয়ার্স এগো। তবে আমি তো জানতাম না। আপনার পোস্ট ২টি ও অনেক সুন্দর হয়েছে। 
"3rd party apps er drkar nei,Google ei sms and call history back up er option ache. Just go to Settings>Google>backup now.","৩র্ড পার্টি অ্যাপস এর দরকার নেই,গুগল এই এসএমএস এন্ড কল হিস্ট্রি ব্যাক আপ এর অপসন আছে। জাস্ট গো টু সেটিংস>গুগল>ব্যাকআপ নাউ। "
3gp Low quality ar movie ar Jonno konta bhalo hobe ?,৩জিপি লো কোয়ালিটি এর মুভি এর জন্য কোনটা ভালো হবে ?
3) link fully kaj kore ami nije ei matro check korlam,৩) লিংক ফুললি কাজ করে আমি নিজে এই মাত্র চেক করলাম
"2nd hand chilo na. dukani hoitoo customer k on kore dekhiye chilo. Jodi sim use korto,tobei 2nd hand hoto. Cause,sim laganur por e automatic warranty active hoi.","২ন্ড হ্যান্ড ছিলো না। দোকানি হয়তো কাস্টমার কে অন করে দেখিয়ে ছিল। যদি সিম ইউজ করতো,তবেই ২ন্ড হ্যান্ড হতো। কজ,সিম লাগানোর পর এ অটোমেটিক ওয়ারেন্টি একটিভ হয়। "
2017 theke use kori koi kono to banned khailam na,২০১৭ থেকে ইউজ করি কই কোনো তো ব্যানড খাইলাম না
1111 er mod a baal o hoy na. actual warp+ paben na. sudhu lekha thake warp+. test kore deikhen.,১১১১ এর মোড এ বাল ও হয় না। অ্যাকচুয়াল ওয়ারপ+ পাবেন না। শুধু লেখা থাকে ওয়ারপ+। টেস্ট করে দেইখেন। 
file e virus nei eita drive e emnitei dekhay,ফাইল এ ভাইরাস নেই এইটা ড্রাইভ এ এমনিতেই দেখায়
1 Month Obossho renews lekha ache ke koibo auto renew hobe naki,১ মান্থ অবশ্য রিনিওস লেখা আছে কে কৈবো অটো রিনিউ হবে নাকি
1 million+ jetar download oitar rating 4.8 star,১ মিলিয়ন+ যেটার ডাউনলোড ওইটার রেটিং ৪.৮ স্টার
1 din kokhon bollam?,১ দিন কখন বললাম?
1 din er jhonno,১ দিন এর জন্য
*Author hota parlam na*,*অথর হতে পারলাম না*
er moto kore dite parbo.,এর মত করে দিতে পারবো। 
Vi kivabe mod apk korte hoy. 1ta primuam account modify kore kivabe unlimited account banano jay segulo titurial den plz,ভাই কিভাবে মোড এপিকে করতে হয়. ১টা প্রিমিয়াম একাউন্ট মডিফাই করে কিভাবে আনলিমিটেড একাউন্ট বানানো যায় সেগুলো টিটোরিয়াল দেন প্লীজ
pc dia kivabe korbo?,পিসি দিয়া কিভাবে করবো?
Amar mod niya post kortasen tarporo kono credit den nai.,আমার মোড নিয়া পোস্ট করতাছেন তারপরও কোনো ক্রেডিট দেন নাই. 
apnar mod too apni sell dicchen. amar mod ami free share dicchi,আপনার মোড তো আপনি সেল দিচ্ছেন। আমার মোড আমি ফ্রি শেয়ার দিচ্ছি
pc er jonno app mod kore den,পিসি এর জন্য অ্যাপ মোড করে দেন
vaiya kon sim diye eta use kora jabay mb chara?,ভাইয়া কোন সিম দিয়ে এটা ইউজ করা যাবে এমবি ছাড়া?
Vai thanks,ভাই থ্যাংকস
Ip port dan. For pc,আইপি পোর্ট দেন। ফর পিসি
"use proxybd,post valo kore porun","ইউজ প্রক্সিবিডি,পোস্ট ভালো করে পড়ুন"
Proxydb ar kaj kore na. Video make kore youtube a dan pc method.,প্রক্সিবিডি আর কাজ করে না। ভিডিও মেক করে ইউটুবে এ দেন পিসি মেথড।
App ta download korte parteci na .plz help,অ্যাপ টা ডাউনলোড করতে পারতেছি না .প্লিজ হেল্প
google a search korun,গুগোল এ সার্চ করুন
R a vai apk mod kore abar password lagiye dicen?,আর এ ভাই এপিকে মোড করে আবার পাসওয়ার্ড লাগাইয়া দিছেন?
telegram a add hole sobupdate paben,টেলিগ্রাম এ অ্যাড হলে সবআপডেট পাবেন
Password ta den vai,পাসওয়ার্ড টা দেন ভাই
Sry deya ace,সরি দেয়া আছে
try dhaka server. r server kaj na korle aita app er problem na. problem holo turbo vpn er main server er,ট্রাই ঢাকা সার্ভার। আর সার্ভার কাজ না করলে এইটা অ্যাপ এর প্রব্লেম না। প্রবলেম হলো টার্বো ভিপিএন এর মেইন সার্ভার এর
Apnar payment Prof koi,আপনার পেমেন্ট প্রুফ কই 
link work hccena,লিংক ওয়ার্ক হচ্ছেনা
link to tik ase vai,লিংক তো ঠিক আছে ভাই
daken vai,ডাকেন ভাই
link thik koren vai,লিংক ঠিক করেন ভাই
link to vai tik ase. tbe maje hoyto oder server somossa hoy!!,লিংক তো ভাই ঠিক আছে. তবে মাঝে হয়তো ওদের সার্ভার সমস্যা হয়!!
Reffer korle koto taka day?,রেফার করলে কত টাকা দেয়?
refer e taka na 10 point kore day,রেফের এ টাকা না ১০ পয়েন্ট করে দেয়
Hmm,হুম
vai link tik koren.link teke to download ee kora jayna,ভাই লিংক ঠিক করেন.লিংক থেকে তো ডাউনলোড ই করা যায়না
link tik ase vai tobe maje maje oder server down hoye jay,লিংক ঠিক আছে ভাই তবে মাঝে মাঝে ওদের সার্ভার ডাউন হয়ে যায়
akhn 50tk min.,এখন ৫০টাকা মিনিট। 
Fake! Amk akhono payment dey nai,ফেইক! আমাকে এখনো পেমেন্ট দেয় নাই
paye jabe!! min 48 hour wait koren,পেয়ে যাবে !! মিন ৪৮ আওার ওয়েট করেন
1hour e moddhei hate paisi ami,১আওার এ মধ্যেই হাতে পাইছি আমি
1month Agei dakci.movie ta valo cilo.,১মান্থ আগেই দেখছি।মুভি টা ভালো ছিল। 
1st link ta dekhun akhon dowod hobe.,ফার্স্ট লিংক টা দেখুন এখন ডাউনলোড হবে.
1st link tay prb hoise akhon,ফার্স্ট লিংক টায় প্রব হইছে এখন. 
1st Season Joss chilo,ফার্স্ট সিজন জোশ ছিল. 
2 Ta link direct dewa ase. valo kore dekhen.,২ টা লিংক ডাইরেক্ট দেয়া আছে. ভালো করে দেখেন.
2 ta link oi to thik ase bro spped pete ei link ou best. r eassy vabe downlod r jonno etay perfect,২ টা লিংক ই তো ঠিক আছে ব্রো স্পিড পেতে এই লিংক ই বেস্ট। আর ইজি ভাবে ডাউনলোড এঁর জন্য এটাই পারফেক্ট. 
2 tar kaj to alada typer,২ টার কাজ তো আলাদা টাইপের
2 week agey dekha hoye gese,২ উইক আগেই দেখা হয়ে গেছে
a amra jani r gentleman er hindi dubbed ace ta thakte Telugu te dilen keno,এ আমরা জানি আর জেন্টেলম্যান এর হিন্দি ডাবড আছে তা থাকতে তেলুগু তে দিলেন কেনো 
a movie 1 month age e dekhci r khub ekta valo na just oi last er social message ta e valo,এ মুভি ১ মান্থ আগেই দেখছি আর খুব একটা ভালো না জাস্ট ওই লাস্ট এর সোশ্যাল মেসেজ টা ই ভালো
a movie 8 September dekhci keu Jodi movie dekhte Chan tahole amare boilen ami apnader website dibo jate Google drive Link thake,এ মুভি ৮ সেপ্টেম্বর দেখছি কেউ যদি মুভি দেখতে চান তাহলে আমার বইলেন আমি আপনাদের ওয়েবসাইট দিব যাতে গুগল ড্রাইভ লিংক থাকে
a movie dekhci sei 28 june,এ মুভি দেখছি সেই ২৮ জুন
A vai eto seii jhamela. Ekta font diye lekhar jonne website a jbo kno Dhuurr jhamela,এ ভাই এতো সেই ঝামেলা. একটা ফন্ট দিয়ে লেখার জন্যে ওয়েবসাইট এ যাবো কেনো ধুউর ঝামেলা
abal,আবাল
Abal ar moto post trickbdte manayna.,আবালের মত পোস্ট ট্রিকবিডিতে মানায়না। 
Abal hoysen bro? Aita tv series .ami movie boltei pari.,আবাল হইছেন ব্রো? এইটা টিভি সিরিজ ।আমি মুভি বলতেই পারি।
Abal Naki Vai.Apni,আবাল নাকি ভাই.আপনি
Abalgirir oo akta limit acha. onak new new movie ashticha oi gila movie bat diya purono movie gular kotha bolticha.,আবালগিরির ও একটা লিমিট আছে। অনেক নিউ নিউ মুভি আসতেছে ওই গুলা মুভি বাদ দিয়া পুরান মুভির কথা বলতাছে। 
Abar account khulen,আবার একাউন্ট খুলেন
ABEGE KAINDALSI,আবেগে কাইন্দালছি
abul na bole parchina jeilbreak korle kichu hoyna hobe tokon tumar moto abul der kace nile phn to nostoi hove ami onk I phn jeilbreak koraici kicui hoyni,আবুল না বলে পারছিনা জেলব্রেইক করলে কিছু হয়না হবে তখন তোমার মত আবুল দের কাছে নিলে ফোন তো নষ্টই হবে আমি অনেক আইফোন জেলব্রেইক করাইছি কিছুই হয়নাই
acca ami comment korte pari na kno,আচ্ছা আমি কমেন্ট করতে পারি না কেনো
acca ektu wait korte hobe,আচ্ছা একটু ওয়েট করতে হবে
Acca vai ager post tar link diben. Plz,আচ্ছা ভাই আগের পোস্ট টার লিংক দিবেন. প্লিজ 
acca vaiya.tnx,আচ্ছা ভাইয়া.থ্যাংকস
"Accha bappi bro tumar tamil,Telugu,Kannada,malayam film e favourite hero kara","আচ্ছা বাপ্পি ব্রো তোমার তামিল,তেলুগু,কান্নাডা,মালায়াম ফিল্ম এ ফেভারেট হিরো কারা "
Account lock dakhay akhon ki korle thik hobe,একাউন্ট লক দেখায় এখন কি করলে ঠিক হবে 
Ace tor kace oi app ta.? sunci oita diye naki Studio er moto gan gawa jai.?,আছে তোর কাছে ওই অ্যাপ টা.? শুনছি ওইটা দিয়ে নাকি ষ্টুডিও এর মতো গান গাওয়া যায়.? 
Ace vai apper romjan bisoy click korar por upore dan pase tin ti dot a click korle paben.,আছে ভাই অ্যাপের রমজান বিষয় ক্লিক করার পর উপরে ডান পাশে তিন টি ডট এ ক্লিক করলে পাবেন। 
action gula great but stroy common.,অ্যাকশন গুলা গ্রেট বাট স্টোরি কমন. 
adaai movie link hobe?,আদায় মুভি লিংক হবে?
Admin bro Post Ta aprrove koren,অ্যাডমিন ব্রো পোস্ট টা এপ্রুভ করেন
Admin chara ki somvob na? ami aro akata post kore c 1 mounth age but aprove kore ni,অ্যাডমিন ছাড়া কি সম্ভব না? আমি আরো একটা পোস্ট করেছি ১ মান্থ আগে বাট এপ্রুভ করে নাই. 
Admin vai amar post review korun,অ্যাডমিন ভাই আমার পোস্ট রিভিউ করুন
admin vai amr post gula daken?,অ্যাডমিন ভাই আমার পোস্ট গুলা দেখেন?
admin vai tuner koren,অ্যাডমিন ভাই টিউনার করেন
Advance a click korle link a kaj kore.faltu post,অ্যাডভান্স এ ক্লিক করলে লিংক এ কাজ করে.ফালতু পোস্ট
After focus use koren ba picart er cut option,আফটার ফোকাস ইউজ করেন বা পিকআর্ট এর কাট অপশন
ag tekei jani. thanks for share.,আগে থেকেই জানি। থ্যাংকস ফর শেয়ার। 
Aga try karen tar por balen . Its working 100%,আগে ট্রাই করেন তার পর বলেন । ইটস ওয়ার্কিং ১০০%
agar post gola valo hoysa,আগের পোস্ট গুলা ভালো হইছে
age jantam na. akhun janlam,আগে জানতাম না। এখন জানলাম
Agei dekhesi. But good job,আগেই দেখেছি. বাট গুড জব
Ager 2 raw dechchi. Sei action movie,আগের ২ টাও দেখছি। সেই অ্যাকশন মুভি
"ager ek comment a bolxhen ALLAH banaiche author,ami ki bolechi dekhenni sekhane? chokh upore uthan","আগের এক কমেন্ট এ বলছেন আল্লাহ বানাইছে অথর,আমি কি বলেছি দেখেননি সেখানে? চোখ উপরে উঠান"
Agey gantam,আগেই জানতাম
agolo mone korte gele bat khaoya vule jabo.,এগুলো মনে করতে গেলে ভাত খাওয়া ভুলে যাবো। 
agula upokari content,এগুলা উপকারি কন্টেন্ট. 
ai akta movie nia r koto post diban?,এই একটা মুভি নিয়া আর কত পোস্ট দিবেন?
ai celetar protiti post e awesome,এই ছেলেটার প্রতিটা পোস্ট ই অসাম
ai kostu kaki bogano bolan tu,এই কষ্ট কাকে ভুগান বলেন তো 
ai liste Epitaf k jayga deoya uchit chilo,এই লিস্টে এপিটাফ কে জায়গা দেওয়া উচিত ছিল
Ai movie ar jonnaw request kora lage,এই মুভি এর জন্যও রিকোয়েস্ট করা লাগে
Ai movie r moton ami monea korea kharap movie naiato kharap khahini movie,এই মুভি এর মতন আমি মনে করি খারাপ মুভি নাইএত খারাপ কাহিনী মুভি
Ai movie ta oto ta valo lagi ni,এই মুভি টা অত টা ভালো লাগে নি
ai post a 1st comment ta kar?,এই পোস্ট এ ১স্ট কমেন্ট টা কার?
ai post really kajer,এই পোস্ট রিয়েলি কাজের
